ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1528,Netherlands,1.0000000000000000e+00,1.1000000000000000e+01,NET,NET-OO,1.0000000000000000e+00,,Europe,,
1529,Netherlands Antilles,8.0000000000000000e+00,8.1000000000000000e+01,NLA,,1.5000000000000000e+01,,West Indies,,excluding Netherlands Leeward Is.; self-governing part of Netherlands realm
1530,Netherlands Guiana,8.0000000000000000e+00,8.2000000000000000e+01,SUR,SUR-OO,1.6000000000000000e+01,,East Tropical South America,Surinam,
1531,Netherlands Leeward Is.,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-NL,1.5000000000000000e+01,,West Indies,,
1532,Neuquén,8.0000000000000000e+00,8.5000000000000000e+01,AGS,AGS-NE,1.8000000000000000e+01,,Temperate South America,,
1533,Nevada,7.0000000000000000e+00,7.6000000000000000e+01,NEV,NEV-OO,1.3000000000000000e+01,,North America,,
1534,Nevis,8.0000000000000000e+00,8.1000000000000000e+01,LEE,LEE-SK,1.5000000000000000e+01,,West Indies,,
1535,New Brunswick,7.0000000000000000e+00,7.2000000000000000e+01,NBR,NBR-OO,1.3000000000000000e+01,,North America,,
1536,New Britain,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,
1537,New Caledonia,6.0000000000000000e+00,6.0000000000000000e+01,NWC,NWC-OO,9.0000000000000000e+00,B,New Caledonia,,Overseas Territory of France
1538,New Georgia,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-SO,9.0000000000000000e+00,A,Melanesia,,
1539,New Guinea,4.0000000000000000e+00,4.2000000000000000e+01,NWG,,6.0000000000000000e+00,E,New Guinea,,
1540,New Hampshire,7.0000000000000000e+00,7.5000000000000000e+01,NWH,NWH-OO,1.3000000000000000e+01,,North America,,
1541,New Hanover,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,
1542,New Hebrides,6.0000000000000000e+00,6.0000000000000000e+01,VAN,VAN-OO,9.0000000000000000e+00,A,Melanesia,Vanuatu,
1543,New Ireland,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,
1544,New Jersey,7.0000000000000000e+00,7.5000000000000000e+01,NWJ,NWJ-OO,1.3000000000000000e+01,,North America,,
1545,New Mexico,7.0000000000000000e+00,7.7000000000000000e+01,NWM,NWM-OO,1.3000000000000000e+01,,North America,,
1546,New Providence,8.0000000000000000e+00,8.1000000000000000e+01,BAH,BAH-OO,1.5000000000000000e+01,,West Indies,,
1547,New Siberian Is.,3.0000000000000000e+00,3.0000000000000000e+01,YAK,YAK-OO,3.0000000000000000e+00,,Northern Asia,Novosibirskiye Ostrova,
1548,New South Wales,5.0000000000000000e+00,5.0000000000000000e+01,NSW,NSW-NS,7.0000000000000000e+00,,Australia,,excluding Australian Capital Territory
1549,New South Wales,5.0000000000000000e+00,5.0000000000000000e+01,NSW,,7.0000000000000000e+00,,Australia,,including Australian Capital Territory
